"activity.subject" "value.mean"
"1.LAYING" 0.22159824394
"2.LAYING" 0.281373403958333
"3.LAYING" 0.275516852741935
"4.LAYING" 0.263559214981481
"5.LAYING" 0.278334325576923
"6.LAYING" 0.248656520140351
"7.LAYING" 0.250176694038462
"8.LAYING" 0.261254282907407
"9.LAYING" 0.2591955368
"10.LAYING" 0.280230574137931
"11.LAYING" 0.280592970877193
"12.LAYING" 0.260113433
"13.LAYING" 0.276716360483871
"14.LAYING" 0.233275439803922
"15.LAYING" 0.2894756525
"16.LAYING" 0.274227162571429
"17.LAYING" 0.269780085577465
"18.LAYING" 0.274691576923077
"19.LAYING" 0.272653733493976
"20.LAYING" 0.239507882205882
"21.LAYING" 0.271325472455556
"22.LAYING" 0.279959721194444
"23.LAYING" 0.274038007986111
"24.LAYING" 0.272850494930556
"25.LAYING" 0.250791828613699
"26.LAYING" 0.271645864540789
"27.LAYING" 0.274102492432432
"28.LAYING" 0.2759134825
"29.LAYING" 0.287295196811594
"30.LAYING" 0.281033900571429
"1.SITTING" 0.261237565425532
"2.SITTING" 0.27708735173913
"3.SITTING" 0.257197599134615
"4.SITTING" 0.27153827992
"5.SITTING" 0.273694139545455
"6.SITTING" 0.276778487454545
"7.SITTING" 0.284674637291667
"8.SITTING" 0.267491472934783
"9.SITTING" 0.24832674354
"10.SITTING" 0.270612056481481
"11.SITTING" 0.276590197358491
"12.SITTING" 0.275007224901961
"13.SITTING" 0.274328499591837
"14.SITTING" 0.279990577037037
"15.SITTING" 0.27290337979661
"16.SITTING" 0.280768574492754
"17.SITTING" 0.2773570196875
"18.SITTING" 0.27727001877193
"19.SITTING" 0.273830316164384
"20.SITTING" 0.278045439090909
"21.SITTING" 0.277539616823529
"22.SITTING" 0.273583822709677
"23.SITTING" 0.273351251617647
"24.SITTING" 0.273475690147059
"25.SITTING" 0.278541482461538
"26.SITTING" 0.258243530166667
"27.SITTING" 0.273941302571429
"28.SITTING" 0.276977629444444
"29.SITTING" 0.2771799775
"30.SITTING" 0.268336081379032
"1.STANDING" 0.278917629056604
"2.STANDING" 0.277911472222222
"3.STANDING" 0.280046513278689
"4.STANDING" 0.280499745892857
"5.STANDING" 0.282544390892857
"6.STANDING" 0.280346248596491
"7.STANDING" 0.282723539433962
"8.STANDING" 0.279620986111111
"9.STANDING" 0.282310057333333
"10.STANDING" 0.276650300681818
"11.STANDING" 0.277715562765957
"12.STANDING" 0.277405834918033
"13.STANDING" 0.277758431052632
"14.STANDING" 0.280545613833333
"15.STANDING" 0.278915803962264
"16.STANDING" 0.283497402948718
"17.STANDING" 0.277942503333333
"18.STANDING" 0.278458805890411
"19.STANDING" 0.27817226
"20.STANDING" 0.278076904657534
"21.STANDING" 0.27695224258427
"22.STANDING" 0.279053861587302
"23.STANDING" 0.277899323235294
"24.STANDING" 0.280348883913043
"25.STANDING" 0.278013701621622
"26.STANDING" 0.281127035405405
"27.STANDING" 0.279566921625
"28.STANDING" 0.277795069113924
"29.STANDING" 0.277965065846154
"30.STANDING" 0.277112699152542
"1.WALKING" 0.277330758736842
"2.WALKING" 0.276426586440678
"3.WALKING" 0.275567462068966
"4.WALKING" 0.278582015166667
"5.WALKING" 0.27784234625
"6.WALKING" 0.283658868070175
"7.WALKING" 0.275592961754386
"8.WALKING" 0.27468631
"9.WALKING" 0.278502842115385
"10.WALKING" 0.278574076603774
"11.WALKING" 0.271821892881356
"12.WALKING" 0.2771286656
"13.WALKING" 0.275883130350877
"14.WALKING" 0.271959598644068
"15.WALKING" 0.273899207962963
"16.WALKING" 0.276023564509804
"17.WALKING" 0.272341855245902
"18.WALKING" 0.273887758571429
"19.WALKING" 0.273931172307692
"20.WALKING" 0.272589336470588
"21.WALKING" 0.279183526730769
"22.WALKING" 0.27886459
"23.WALKING" 0.273211884237288
"24.WALKING" 0.276980816034483
"25.WALKING" 0.278992759054054
"26.WALKING" 0.279264443728814
"27.WALKING" 0.276849485438596
"28.WALKING" 0.281228223888889
"29.WALKING" 0.271999916792453
"30.WALKING" 0.276406758
"1.WALKING_DOWNSTAIRS" 0.289188320408163
"2.WALKING_DOWNSTAIRS" 0.27761534806383
"3.WALKING_DOWNSTAIRS" 0.292423484693878
"4.WALKING_DOWNSTAIRS" 0.279965329555556
"5.WALKING_DOWNSTAIRS" 0.29354392712766
"6.WALKING_DOWNSTAIRS" 0.277045258145833
"7.WALKING_DOWNSTAIRS" 0.28030708
"8.WALKING_DOWNSTAIRS" 0.283484089210526
"9.WALKING_DOWNSTAIRS" 0.295923445
"10.WALKING_DOWNSTAIRS" 0.290401594315789
"11.WALKING_DOWNSTAIRS" 0.291605631956522
"12.WALKING_DOWNSTAIRS" 0.281521097391304
"13.WALKING_DOWNSTAIRS" 0.294907553404255
"14.WALKING_DOWNSTAIRS" 0.293422115555556
"15.WALKING_DOWNSTAIRS" 0.280198851190476
"16.WALKING_DOWNSTAIRS" 0.295586802191489
"17.WALKING_DOWNSTAIRS" 0.29391828326087
"18.WALKING_DOWNSTAIRS" 0.288439468909091
"19.WALKING_DOWNSTAIRS" 0.262688053871795
"20.WALKING_DOWNSTAIRS" 0.296144421355556
"21.WALKING_DOWNSTAIRS" 0.3014610196
"22.WALKING_DOWNSTAIRS" 0.284458963861111
"23.WALKING_DOWNSTAIRS" 0.289897411148148
"24.WALKING_DOWNSTAIRS" 0.288631208909091
"25.WALKING_DOWNSTAIRS" 0.291329666206897
"26.WALKING_DOWNSTAIRS" 0.2792845828
"27.WALKING_DOWNSTAIRS" 0.2975441875
"28.WALKING_DOWNSTAIRS" 0.293642076521739
"29.WALKING_DOWNSTAIRS" 0.293140441083333
"30.WALKING_DOWNSTAIRS" 0.283190646967742
"1.WALKING_UPSTAIRS" 0.255461689622641
"2.WALKING_UPSTAIRS" 0.247164790395833
"3.WALKING_UPSTAIRS" 0.260819873067797
"4.WALKING_UPSTAIRS" 0.270876696730769
"5.WALKING_UPSTAIRS" 0.268459469914894
"6.WALKING_UPSTAIRS" 0.268229355098039
"7.WALKING_UPSTAIRS" 0.248706923078431
"8.WALKING_UPSTAIRS" 0.258880152048781
"9.WALKING_UPSTAIRS" 0.262436475714286
"10.WALKING_UPSTAIRS" 0.267121853404255
"11.WALKING_UPSTAIRS" 0.263775859277778
"12.WALKING_UPSTAIRS" 0.272970338653846
"13.WALKING_UPSTAIRS" 0.258203939581818
"14.WALKING_UPSTAIRS" 0.26242106612963
"15.WALKING_UPSTAIRS" 0.270187595833333
"16.WALKING_UPSTAIRS" 0.255986102627451
"17.WALKING_UPSTAIRS" 0.252604768583333
"18.WALKING_UPSTAIRS" 0.265401201896552
"19.WALKING_UPSTAIRS" 0.242118808925
"20.WALKING_UPSTAIRS" 0.252098317156863
"21.WALKING_UPSTAIRS" 0.265194544680851
"22.WALKING_UPSTAIRS" 0.248391534566667
"23.WALKING_UPSTAIRS" 0.249995171031373
"24.WALKING_UPSTAIRS" 0.269881106779661
"25.WALKING_UPSTAIRS" 0.277995411384615
"26.WALKING_UPSTAIRS" 0.272691394545455
"27.WALKING_UPSTAIRS" 0.265770253921569
"28.WALKING_UPSTAIRS" 0.262005841764706
"29.WALKING_UPSTAIRS" 0.265423066877551
"30.WALKING_UPSTAIRS" 0.271415642261538
